id задачи|Дата создания|Платформа|Способ связи|Кол-во откликов|Кол-во матчей
193756|2022-07-31T23:57:31.983596|admins|через телефон|3|0
193755|2022-07-31T23:55:56.279079|admins|через телефон|5|0
193754|2022-07-31T23:55:29.532551|admins|через телефон|2|0
193753|2022-07-31T23:53:43.539276|android|через телефон|1|0
193752|2022-07-31T23:45:08.626767|admins|через телефон|0|0
193751|2022-07-31T23:43:55.704421|admins|через телефон|5|0
193750|2022-07-31T23:40:24.904043|admins|через телефон|0|0
193749|2022-07-31T23:39:14.122302|admins|через телефон|1|0
193748|2022-07-31T23:37:05.545173|admins|через телефон|1|0
193747|2022-07-31T23:36:27.702269|admins|через телефон|1|0
193746|2022-07-31T23:36:11.021222|admins|через телефон|1|0
193745|2022-07-31T23:36:04.289958|admins|через телефон|3|0
193744|2022-07-31T23:32:51.874871|admins|через телефон|4|0
193743|2022-07-31T23:31:06.377496|admins|через телефон|3|0
193742|2022-07-31T23:26:59.122407|admins|через телефон|0|0
193741|2022-07-31T23:25:03.525147|admins|через телефон|1|0
193740|2022-07-31T23:19:13.919438|admins|через телефон|2|0
193739|2022-07-31T23:14:13.485042|admins|через телефон|2|0
193738|2022-07-31T23:10:22.650849|admins|через телефон|0|0
193737|2022-07-31T23:07:52.496091|admins|через телефон|2|0
193736|2022-07-31T22:54:26.595202|admins|через телефон|1|0
193735|2022-07-31T22:49:27.494270|admins|через телефон|1|0
193734|2022-07-31T22:41:59.025493|admins|через телефон|1|0
193733|2022-07-31T22:36:21.559809|admins|через телефон|1|0
193732|2022-07-31T22:31:25.481399|admins|через телефон|3|0
193731|2022-07-31T22:28:43.778886|admins|через телефон|3|0
193730|2022-07-31T22:23:23.747290|android|через телефон|4|0
193729|2022-07-31T22:06:27.284046|admins|через телефон|5|0
193728|2022-07-31T21:47:39.407075|admins|через телефон|5|0
193727|2022-07-31T21:42:50.418050|admins|через телефон|1|0
193726|2022-07-31T21:30:59.793252|ios|через приложение|8|0
193725|2022-07-31T21:17:16.267320|admins|через телефон|2|0
193724|2022-07-31T21:14:08.070767|admins|через телефон|2|0
193723|2022-07-31T21:10:59.693155|admins|через телефон|5|0
193722|2022-07-31T20:35:30.608875|admins|через телефон|1|0
193721|2022-07-31T20:20:05.016638|admins|через телефон|3|0
193720|2022-07-31T20:15:12.709024|admins|через телефон|1|0
193719|2022-07-31T19:45:56.272200|admins|через телефон|5|0
193718|2022-07-31T19:44:35.047945|admins|через телефон|5|0
193717|2022-07-31T19:42:29.661434|admins|через телефон|1|0
193716|2022-07-31T19:41:48.875225|admins|через телефон|5|0
193715|2022-07-31T19:37:48.860077|admins|через телефон|5|0
193714|2022-07-31T19:33:37.450358|admins|через телефон|3|0
193713|2022-07-31T19:31:07.206157|admins|через телефон|1|0
193712|2022-07-31T19:27:12.086271|admins|через телефон|0|0
193711|2022-07-31T19:17:39.278419|admins|через телефон|5|0
193710|2022-07-31T09:04:25.533246|-|через приложение|0|0
193709|2022-07-31T06:10:56.310665|admins|через телефон|0|0
193708|2022-07-31T05:58:07.324363|admins|через телефон|5|0
193707|2022-07-31T05:53:54.946946|admins|через телефон|2|0
193706|2022-07-31T05:49:50.557258|admins|через телефон|1|0
193705|2022-07-31T05:47:49.445126|admins|через телефон|2|0
193704|2022-07-31T05:47:30.862236|admins|через телефон|1|0
193703|2022-07-31T05:42:33.459746|admins|через телефон|2|0
193702|2022-07-31T05:38:07.338072|admins|через телефон|2|0
193701|2022-07-31T05:35:03.783572|admins|через телефон|2|0
193700|2022-07-31T05:31:55.465531|admins|через телефон|2|0
193699|2022-07-31T05:31:02.170530|admins|через телефон|1|0
193698|2022-07-31T05:18:34.076475|admins|через телефон|2|0
193697|2022-07-31T05:10:37.458939|admins|через телефон|1|0
193696|2022-07-31T05:06:39.989794|admins|через телефон|1|0
193695|2022-07-31T05:04:29.489737|admins|через телефон|1|0
193694|2022-07-31T05:01:38.999534|admins|через телефон|5|0
193693|2022-07-31T04:59:24.557326|admins|через телефон|1|0
193692|2022-07-31T04:56:09.460694|admins|через телефон|5|0
193691|2022-07-31T04:55:07.345796|admins|через телефон|0|0
193690|2022-07-31T04:52:17.159642|admins|через телефон|2|0
193689|2022-07-31T04:50:51.524922|admins|через телефон|5|0
193688|2022-07-31T04:49:28.896550|admins|через телефон|3|0
193687|2022-07-31T04:49:05.438169|admins|через телефон|2|0
193686|2022-07-31T04:49:03.340681|admins|через телефон|0|0
193685|2022-07-31T04:46:47.930560|admins|через телефон|0|0
193684|2022-07-31T04:45:14.485555|admins|через телефон|1|0
193683|2022-07-31T04:41:19.669642|admins|через телефон|0|0
193682|2022-07-31T04:39:13.676214|admins|через телефон|4|0
193681|2022-07-31T04:38:13.614558|admins|через телефон|1|0
193680|2022-07-31T04:37:34.900495|admins|через телефон|3|0
193679|2022-07-31T04:37:26.226103|admins|через телефон|0|0
193678|2022-07-31T04:02:10.671464|admins|через телефон|5|0
193677|2022-07-31T03:57:58.047216|admins|через телефон|1|0
193676|2022-07-31T03:52:36.516240|admins|через телефон|5|0
193675|2022-07-31T03:38:39.519701|admins|через телефон|1|0
193674|2022-07-31T03:36:31.591340|admins|через телефон|1|0
193673|2022-07-31T03:36:07.581152|admins|через телефон|2|0
193672|2022-07-31T03:34:01.569652|admins|через телефон|0|0
193671|2022-07-31T03:31:05.579482|admins|через телефон|4|0
193670|2022-07-31T03:30:49.903432|admins|через телефон|5|0
193669|2022-07-31T03:28:46.629878|admins|через телефон|1|0
193668|2022-07-31T03:25:37.461423|admins|через телефон|1|0
193667|2022-07-31T03:23:54.475481|admins|через телефон|2|0
193666|2022-07-31T03:23:13.707516|admins|через телефон|1|0
193665|2022-07-31T03:22:23.575600|admins|через телефон|2|0
193664|2022-07-31T03:22:18.918003|admins|через телефон|3|0
193663|2022-07-31T03:21:54.506160|admins|через телефон|5|0
193662|2022-07-31T03:20:42.761359|admins|через телефон|0|0
193661|2022-07-31T03:18:35.665118|admins|через телефон|2|0
193660|2022-07-31T03:17:24.164646|admins|через телефон|1|0
193659|2022-07-31T03:16:57.530886|admins|через телефон|2|0
193658|2022-07-31T03:15:21.170590|admins|через телефон|2|0
193657|2022-07-31T03:15:20.479759|admins|через телефон|1|0
193656|2022-07-31T03:13:24.694666|admins|через телефон|1|0
193655|2022-07-31T03:08:33.980419|admins|через телефон|0|0
193654|2022-07-31T03:05:08.324347|admins|через телефон|5|0
193653|2022-07-31T03:04:12.274186|admins|через телефон|1|0
193652|2022-07-31T02:58:14.483868|admins|через телефон|0|0
193651|2022-07-31T02:57:37.218426|admins|через телефон|2|0
193650|2022-07-31T02:56:22.406992|admins|через телефон|3|0
193649|2022-07-31T02:56:04.842403|admins|через телефон|3|0
193648|2022-07-31T02:53:22.076720|admins|через телефон|0|0
193647|2022-07-31T02:52:57.998812|admins|через телефон|5|0
193646|2022-07-31T02:52:05.925236|admins|через телефон|5|0
