id задачи|Способ связи|Дата создания|Платформа|Кол-во откликов|Кол-во прематчей
193756|через телефон|2022-07-31T23:57:31.983596|admins|3|3
193755|через телефон|2022-07-31T23:55:56.279079|admins|5|4
193754|через телефон|2022-07-31T23:55:29.532551|admins|2|2
193753|через телефон|2022-07-31T23:53:43.539276|android|1|0
193752|через телефон|2022-07-31T23:45:08.626767|admins|0|0
193751|через телефон|2022-07-31T23:43:55.704421|admins|5|5
193750|через телефон|2022-07-31T23:40:24.904043|admins|0|0
193749|через телефон|2022-07-31T23:39:14.122302|admins|1|1
193748|через телефон|2022-07-31T23:37:05.545173|admins|1|1
193747|через телефон|2022-07-31T23:36:27.702269|admins|1|1
193746|через телефон|2022-07-31T23:36:11.021222|admins|1|1
193745|через телефон|2022-07-31T23:36:04.289958|admins|3|3
193744|через телефон|2022-07-31T23:32:51.874871|admins|4|4
193743|через телефон|2022-07-31T23:31:06.377496|admins|3|3
193742|через телефон|2022-07-31T23:26:59.122407|admins|0|0
193741|через телефон|2022-07-31T23:25:03.525147|admins|1|1
193740|через телефон|2022-07-31T23:19:13.919438|admins|2|2
193739|через телефон|2022-07-31T23:14:13.485042|admins|2|2
193738|через телефон|2022-07-31T23:10:22.650849|admins|0|0
193737|через телефон|2022-07-31T23:07:52.496091|admins|2|2
193736|через телефон|2022-07-31T22:54:26.595202|admins|1|1
193735|через телефон|2022-07-31T22:49:27.494270|admins|1|1
193734|через телефон|2022-07-31T22:41:59.025493|admins|1|1
193733|через телефон|2022-07-31T22:36:21.559809|admins|1|1
193732|через телефон|2022-07-31T22:31:25.481399|admins|3|3
193731|через телефон|2022-07-31T22:28:43.778886|admins|3|3
193730|через телефон|2022-07-31T22:23:23.747290|android|4|4
193729|через телефон|2022-07-31T22:06:27.284046|admins|5|5
193728|через телефон|2022-07-31T21:47:39.407075|admins|5|5
193727|через телефон|2022-07-31T21:42:50.418050|admins|1|1
193726|через приложение|2022-07-31T21:30:59.793252|ios|8|2
193725|через телефон|2022-07-31T21:17:16.267320|admins|2|2
193724|через телефон|2022-07-31T21:14:08.070767|admins|2|2
193723|через телефон|2022-07-31T21:10:59.693155|admins|5|3
193722|через телефон|2022-07-31T20:35:30.608875|admins|1|1
193721|через телефон|2022-07-31T20:20:05.016638|admins|3|3
193720|через телефон|2022-07-31T20:15:12.709024|admins|1|1
193719|через телефон|2022-07-31T19:45:56.272200|admins|5|5
193718|через телефон|2022-07-31T19:44:35.047945|admins|5|5
193717|через телефон|2022-07-31T19:42:29.661434|admins|1|1
193716|через телефон|2022-07-31T19:41:48.875225|admins|5|5
193715|через телефон|2022-07-31T19:37:48.860077|admins|5|5
193714|через телефон|2022-07-31T19:33:37.450358|admins|3|3
193713|через телефон|2022-07-31T19:31:07.206157|admins|1|1
193712|через телефон|2022-07-31T19:27:12.086271|admins|0|0
193711|через телефон|2022-07-31T19:17:39.278419|admins|5|5
193710|через приложение|2022-07-31T09:04:25.533246|-|0|0
193709|через телефон|2022-07-31T06:10:56.310665|admins|0|0
193708|через телефон|2022-07-31T05:58:07.324363|admins|5|5
193707|через телефон|2022-07-31T05:53:54.946946|admins|2|2
193706|через телефон|2022-07-31T05:49:50.557258|admins|1|1
193705|через телефон|2022-07-31T05:47:49.445126|admins|2|2
193704|через телефон|2022-07-31T05:47:30.862236|admins|1|1
193703|через телефон|2022-07-31T05:42:33.459746|admins|2|2
193702|через телефон|2022-07-31T05:38:07.338072|admins|2|2
193701|через телефон|2022-07-31T05:35:03.783572|admins|2|2
193700|через телефон|2022-07-31T05:31:55.465531|admins|2|2
193699|через телефон|2022-07-31T05:31:02.170530|admins|1|1
193698|через телефон|2022-07-31T05:18:34.076475|admins|2|2
193697|через телефон|2022-07-31T05:10:37.458939|admins|1|1
193696|через телефон|2022-07-31T05:06:39.989794|admins|1|1
193695|через телефон|2022-07-31T05:04:29.489737|admins|1|1
193694|через телефон|2022-07-31T05:01:38.999534|admins|5|5
193693|через телефон|2022-07-31T04:59:24.557326|admins|1|1
193692|через телефон|2022-07-31T04:56:09.460694|admins|5|4
193691|через телефон|2022-07-31T04:55:07.345796|admins|0|0
193690|через телефон|2022-07-31T04:52:17.159642|admins|2|2
193689|через телефон|2022-07-31T04:50:51.524922|admins|5|4
193688|через телефон|2022-07-31T04:49:28.896550|admins|3|3
193687|через телефон|2022-07-31T04:49:05.438169|admins|2|2
193686|через телефон|2022-07-31T04:49:03.340681|admins|0|0
193685|через телефон|2022-07-31T04:46:47.930560|admins|0|0
193684|через телефон|2022-07-31T04:45:14.485555|admins|1|1
